period,accountability_matrix,separationsCount,attritionRate,headcount,ageMeanYrs,tenureMeanYrs,recognitionEvents,supervisorsCount,lowPerffCount,highPerfCount,timeID
201001,Back End,50,0.011027790030877812,4534,37.300213203940594,10.918541390971916,0,458,18,1625,1
201001,CCG,2,0.006756756756756757,296,38.90934684684685,8.097972972972974,0,61,6,135,1
201001,Central BU,0,0,3,46.94444444444445,14.611111111111112,0,0,0,3,1
201001,Central Eng & Strategy,0,0,9,34.851851851851855,9.925925925925926,0,1,0,7,1
201001,CNBU,0,0,71,44.771126760563384,10.26643192488263,0,19,0,32,1
201001,Corporate,2,0.009345794392523364,214,43.541666666666664,12.334112149532709,0,48,0,128,1
201001,DEG,1,0.001455604075691412,687,39.91533236293062,10.799490538573508,0,122,2,295,1
201001,Finance,1,0.002857142857142857,350,40.68952380952381,9.66547619047619,0,104,5,158,1
201001,Front End,38,0.008187890540831718,4641,37.09177260647849,9.510145083674496,0,616,343,1283,1
201001,GCM,0,0,30,41.18333333333333,7.908333333333334,0,6,0,24,1
201001,Global Procurement,1,0.004761904761904762,210,42.78293650793651,12.485714285714286,0,42,4,109,1
201001,GSC,2,0.013888888888888888,144,37.79050925925926,11.226851851851853,0,28,1,76,1
201001,HR,2,0.011235955056179775,178,41.59878277153558,10.03183520599251,0,38,1,90,1
201001,IT,3,0.005136986301369863,584,40.20704908675799,11.006278538812786,0,67,7,282,1
201001,Legal,0,0,70,44.12738095238095,10.21904761904762,0,18,1,48,1
201001,Lexar,0,0,129,44.093669250645995,4.474160206718346,0,30,2,74,1
201001,MBU,0,0,34,41.666666666666664,10.862745098039214,0,12,0,19,1
201001,NVEG,2,0.0028328611898017,706,38.590533522190746,7.557837582625118,0,140,8,258,1
201001,Production Support,2,0.004434589800443459,451,44.6749815225425,12.11529933481153,0,79,1,327,1
201001,Quality,0,0,150,40.086111111111116,13.972222222222221,0,30,0,46,1
201001,Sales,1,0.0035842293906810036,279,39.01911589008363,8.547491039426523,0,65,0,112,1
201001,SBU,0,0,27,38.36111111111111,6.743827160493827,0,7,1,14,1
